filename,Dish_name,Home_restaurant,Cuisine,Ingredients,Diet,Healthiness_rating,How_much_did_you_like_it,Rice_Chips,Benchmark_A
00001.jpg,steak_&_fries,resturaunt,american,"steak,fries,mixed_salad",non-veg,neutral,strongly_like,chips,Test
00002.jpg,beef_burger_meal,restaurant,american,"chips,burger,chicken_nugget",non-veg,unhealthy,like,chips,Train
00003.jpg,chicken_burger_with_fries_and_wings,restaurant,american,"fried_chicken_breast,lettuce,ketchup,sesame_seed_bun,mayonnaise,fried_potatoes,fried_chicken_wings",non-veg,unhealthy,like,chips,Train
00004.jpg,fried_rice_with_curd,home,indian,"rice,onion,potato,tomato,olive_oil,curd",vegetarian,neutral,like,rice,Train
00005.jpg,fish_and_chips,tcr_bar,british,"cod,beer,flour,tartare_sauce,peas,oil",vegetarian,neutral,strongly_like,chips,Test
00006.jpg,cuban_rice,home,cuban,"vegetable_oil,egg,banana,rice",non-veg,neutral,strongly_like,rice,Train
00007.jpg,1/2_bbq_chicken_with_mashed_potatoes_and_spicy_rice,nandos,portuguese,"chicken,bbq_sauce,rice,potatoes",non-veg,unhealthy,strongly_like,rice,Train
00008.jpg,korean_burger_and_saucy_fries,restaurant,korean,"brioche_bun,chicken_fillet,hoisin_bbq_sauce,lettuce,chilli_crisp,coleslaw",non-veg,very_unhealthy,like,chips,Train
00009.jpg,dal_chawal,home,indian,"basmati_rice,ghee,masoor,asafoetida,cumin_seed,turmeric",vegetarian,healthy,strongly_like,rice,Test
00010.jpg,kfc_twister_wrap_meal,restaurant,american,"tortilla,chicken_strips,lettuce,mayonnaise,chips",vegetarian,unhealthy,strongly_like,chips,Test
00011.jpg,nando's_butterfly_chicken_with_garlic_bread_and_peri-peri_fries,restaurant,south_african,"for_butterfly_chicken:
whole_chicken,nando's_peri-peri_sauce_or_marinade,olive_oil,lemon_juice,salt,black_pepper,garlic
for_garlic_bread:baguette_or,french_bread,butter,garlic,cloves
for_peri-peri_fries:
potatoes,nando's_peri-peri_spice,olive_oil,salt_and_pepper",non-veg,healthy,strongly_like,chips,Test
00012.jpg,schezwan_fried_rice,home,chinese,"rice,water,salt,carrot,capsicum,garlic,ginger,schezwan_sauce,courgette,tomatoes",vegetarian,healthy,strongly_like,rice,Train
00013.jpg,beef_burger_and_chips,flames,american,"burgen_bun,onion,cheese,ketchup,lettuce,tomato,beef,salt,potato,vegetable_oil",non-veg,neutral,strongly_like,chips,Train
00014.jpg,lentil_rice,home,indian,"red_lentils,basmati_rice,ghee,cumin,cloves,_ginger-garlic_
paste,_cinnamon_stick,_tomato,coriander,red_chilli_powder",vegan,very_healthy,dislike,rice,Train
00015.jpg,fried_chicken_and_chips,chicken_shop,british,"chicken_fillets,chips",non-veg,very_unhealthy,like,chips,Train
00016.jpg,fish_and_chips,restaurant,english,"cod,chips",non-veg,unhealthy,like,chips,Train
00017.jpg,vegetable_fried_rice,home,chinese,"rice,sprint_onion,carrot,coriander_leaves,capsicum,cloves,oil,cabbage,green_chillies",vegetarian,very_healthy,strongly_like,rice,Train
00018.jpg,spicy_chicken_burger_with_chips,restaurant,american,"chicken,chips,cheese,bacon,buns,lettuce,tomato",non-veg,unhealthy,like,chips,Test
00019.jpg,loaded_fries,restaurant,portuguese,"chips,pulled_chicken,bbq_sauce,creamy_dressing,spring_onions,cheddar_cheese",non-veg,neutral,like,chips,Train
00020.jpg,biryani,restaurant,indian,"rice,water,salt,cumin,peas,ghee,carrot,french_beans,garlic,onion,ginder,turmeric,red_chilli,salt,garam_masala,biryani_masala",vegetarian,very_healthy,strongly_like,rice,Test
00021.jpg,rice,home,indian,"rice,water,salt,cumin,peas,ghee",vegetarian,very_healthy,strongly_like,rice,Test
00022.jpg,spicy_grilled_chicken_and_cumin_rice,grilled_cottage_watford,indian,"chicken,rice,spices,garlic",non-veg,unhealthy,strongly_like,rice,Train
00023.jpg,rice_with_ivy_guard_curry,home,indian,"rice,ivy_guard,chilly_powder,tumeric_powder_and_sunflower_oil",vegan,healthy,neutral,rice,Train
